show_id;type;title;country;date_added;Description
s235;Movie;A Sun;Taiwan;January 24, 2020;Dramas, Independent Movies, International Movies A family reckons with the aftermath of their younger son's incarceration and a greater misfortune that follows.
s236;TV Show;A Taiwanese Tale of Two Cities;Taiwan;January 27, 2019;International TV Shows, TV Dramas A Taipei doctor and a San Francisco engineer swap homes in a daring pact, embarking on journeys filled with trials, secrets and unexpected encounters.
s237;Movie;A Tale of Love and Darkness;Israel, United States;October 25, 2019;Dramas, International Movies Based on the memoirs of author Amos Oz, this poetic drama shares his family's tale of suffering and survival in the early years of independent Israel.
s238;Movie;A Tale of Two Kitchens;United States, Mexico;May 22, 2019;Documentaries, International Movies Mexico City restaurant star Gabriela CÃ¡mara opens sister eatery Cala in San Francisco, with a similar menu and unusually welcoming kitchen culture.
s239;Movie;A Thin Line Between Love & Hate;United States;December 1, 2020;Comedies, Romantic Movies When a philandering club promoter sets out to woo a rich, glamorous woman, he has no clue just how much mayhem he's about to unleash on his life.
s240;TV Show;A Thousand Goodnights;Taiwan;June 1, 2019;International TV Shows, TV Dramas To carry out her dad's wish and discover her roots, Dai Tian-qing embarks on a journey around Taiwan and finds love and redemption on the way.
s241;Movie;A Thousand Words;United States;July 1, 2020;Comedies When he learns his karma will permit him to speak just a thousand more words before he dies, fast-talking agent Jack must make every syllable count.
s242;TV Show;A Touch of Green;Taiwan;July 1, 2020;International TV Shows, TV Dramas Amid the turmoil of China's civil war, families of Kuomintang pilots face the pain of leaving their homes but find strength in their shared bonds.
s243;Movie;A Trash Truck Christmas;;December 11, 2020;Children & Family Movies When Santa crash-lands in the junkyard on Christmas Eve, Hank, Trash Truck and their animal friends all have a hand in rescuing the holiday for everyone.
s244;Movie;A Trip to Jamaica;Nigeria;December 13, 2019;Comedies, International Movies A newly engaged couple's romantic vacation in Jamaica turns into a mischievous adventure that tests their union in wild and unexpected ways.
s245;Movie;A truthful Mother;India;March 31, 2020;Children & Family Movies Facing a drought, a hungry tiger and a noble cow have an extraordinary encounter in this fable based on a childrenâ€™s book and a Kannada folk song.
s246;Movie;A Twelve Year Night;Uruguay, Argentina, Spain;December 28, 2018;Dramas, International Movies Future Uruguayan president JosÃ© Mujica and his fellow Tupamaro political prisoners fight to survive 12 years of solitary confinement and torture.
s247;Movie;A Very Country Christmas;United States, Canada;November 15, 2020;Music & Musicals, Romantic Movies When an unfulfilled country music star hides out in his hometown, he meets a budding interior designer who finds her way into his heart.
s248;Movie;A Very Murray Christmas;United States;December 4, 2015;Comedies, Music & Musicals Bill Murray rounds up an all-star cast for an evening of music, mischief and barroom camaraderie in this irreverent twist on holiday variety shows.
s249;TV Show;A Very Secret Service;France;July 30, 2018;International TV Shows, TV Comedies At the height of the Cold War in 1960, AndrÃ© Merlaux joins the French Secret Service and contends with enemies both foreign and bureaucratic.
s250;Movie;A Very Special Love;Philippines;November 12, 2020;International Movies, Romantic Movies After landing a job working for her longtime crush, an optimistic woman realizes that the man of her dreams isn't exactly who she envisioned.
s251;Movie;A Walk to Remember;United States;July 1, 2020;Dramas, Romantic Movies When bad boy Landon is cast opposite campus bookworm Jamie in a high school play, romance blooms â€” until tragedy threatens to tear them apart.
s252;Movie;A Wednesday;India;November 1, 2018;Action & Adventure, Dramas, International Movies After receiving an anonymous tip about a bomb, a police commissioner must negotiate with the terrorist, who demands the release of four militants.
s253;Movie;A Week in Watts;United States;February 19, 2018;Documentaries Los Angeles police officers embark on an innovative program mentoring promising students from the harsh, gang-infested Watts neighborhood.
s254;Movie;A Whisker Away;Japan;June 18, 2020;Anime Features, Children & Family Movies, International Movies A peculiar girl transforms into a cat to catch her crush's attention. But before she realizes it, the line between human and animal starts to blur.
s255;Movie;A Witches' Ball;Canada;October 1, 2018;Children & Family Movies Beatrix can't wait to be inducted as a witch, but an unfortunate incident threatens to take her pending title away if she doesn't act fast.
s256;Movie;A Wrinkle in Time;United States;September 25, 2018;Children & Family Movies Years after their father disappears, Meg and her younger brother Charles Wallace cross galaxies on a quest to save him from the heart of darkness.
s257;TV Show;A Year In Space;United States;November 1, 2019;Docuseries, International TV Shows, Science & Nature TV Two astronauts attempt to brave a life in Earth's orbit on a record-setting mission to see if humans have the endurance to survive a flight to Mars.
s258;Movie;A Yellow Bird;Singapore, France;May 1, 2017;Dramas, Independent Movies, International Movies In Singapore, a homeless ex-convict hoping to reunite with his family forms a bond with a Chinese sex worker while serving as her bodyguard.
s259;TV Show;A Young Doctor's Notebook and Other Stories;United Kingdom;;British TV Shows, TV Comedies, TV Dramas Set during the Russian Revolution, this comic miniseries is based on a doctor's memories of his early career working in an out-of-the-way village.
s260;TV Show;A.D. Kingdom and Empire;United States;December 15, 2017;TV Dramas In the wake of Jesus Christ's crucifixion, his apostles dedicate themselves to spreading his message, risking their freedom and their lives.
s261;TV Show;A.I.C.O.;Japan;March 9, 2018;Anime Series, International TV Shows Everything Aiko knew was a lie. Now she's joining a team of Divers to reach the place where the Burst began to stop it for good and save her family.
s262;Movie;A.M.I.;Canada;October 1, 2020;Horror Movies After losing her mother, a teenage girl bonds with her phoneâ€™s artificial intelligence app, a relationship that soon takes a dark and violent turn.
s263;Movie;A.X.L.;United States;March 20, 2019;Action & Adventure, Children & Family Movies, Independent Movies Young motocross racer Miles Hill helps a top-secret robotic combat dog evade its ruthless creator and the military, who are in hot pursuit.
s264;Movie;AÅŸk TesadÃ¼fleri Sever;Turkey;April 4, 2018;Dramas, International Movies, Romantic Movies A series of coincidences brings two star-crossed lovers together, but fate pulls them apart until they encounter each other again in Istanbul.
s265;Movie;Aadu 2;India;May 15, 2018;Comedies, International Movies When Shaji Pappan and his gang of goofy outlaws find themselves low on funds, they plan to once again win a hefty prize in a tug-of-war competition.
s266;Movie;Aagey Se Right;India;November 1, 2018;Comedies, International Movies, Music & Musicals A cop full of self-doubt loses his gun five days before he's due to leave the force, and becomes an unexpected hero as he tries to retrieve it.
s267;Movie;Aajcha Divas Majha;India;January 1, 2018;Comedies, Dramas, International Movies A conscientious politician helps an elderly singer overcome the obstacles placed in his path a by a powerful bureaucracy.
s268;Movie;Aakhri Adaalat;India;September 1, 2017;Action & Adventure, International Movies An intrepid police inspector forced into a desk job must take matters into his own hands when ruthless criminals are released on a technicality.
s269;Movie;Aalorukkam;India;November 15, 2018;Dramas, Independent Movies, International Movies When an aging father seeks the help of a doctor and a journalist to look for the son who left him 16 years ago, he learns some surprising truths.
s270;Movie;Aamir;India;November 1, 2018;International Movies, Thrillers In this high-tension thriller, an anonymous caller on a cell phone threatens to harm a man's family if he doesn't carry out every order.
s271;Movie;Aapla Manus;India;September 10, 2020;Dramas, International Movies, Thrillers When a man falls from his balcony, an investigator questions the victimâ€™s family, determined to uncover a darker truth behind the alleged accident.
s272;Movie;Aarakshan;India;December 31, 2019;Dramas, International Movies The decision by India's supreme court to establish caste-based reservations for jobs in education causes conflict between a teacher and his mentor.
s273;Movie;Aashayein;India;October 22, 2017;Dramas, International Movies When he learns he has terminal cancer, a cynical gambler and chronic smoker ditches his fiancÃ©e, snubs doctors and checks into a nursing home to die.
s274;Movie;Aashik Awara;India;June 1, 2017;Dramas, International Movies, Music & Musicals Raised by a kindly thief, orphaned Jimmy goes on the run from goons and falls in love with Jyoti, whose father indirectly caused his parents' deaths.
s275;Movie;Aata Pita;India;January 1, 2018;Comedies, Dramas, International Movies A municipal clerk with literary ambitions stalks a loan recovery officer on whom he has decided to base his story's central character.
s276;Movie;Aaviri;India;December 31, 2019;Horror Movies, International Movies, Thrillers After losing their first child in an accident, a couple moves to a palatial home, where their young daughter comes under the spell of an eerie spirit.
s277;TV Show;Abby Hatcher;United States, Canada;July 1, 2020;Kids' TV A big-hearted girl helps her Fuzzly friends who live in her family's hotel with exploring feelings, fixing mishaps and embracing their special quirks.
s278;Movie;Abby Sen;India;May 1, 2017;Comedies, Dramas, International Movies After losing his seventh job in a row, a TV producer and sci-fi buff travels back in time to 1980, where his employment prospects improve.
s279;Movie;ABCD 2;India;November 1, 2018;Dramas, International Movies, Music & Musicals After being accused of cheating on a reality TV show, a dance troupe seeks to redeem itself by winning the World Hip-Hop Dance Championship.
s280;Movie;ABCD: Any Body Can Dance;India;November 1, 2018;Dramas, International Movies Thrown out of the elite dance studio he founded, Vishnu's spirits rebound when he sees young street dancers prepping for an annual contest.
s281;Movie;Abdo Mota;Egypt;April 19, 2019;Action & Adventure, Dramas, International Movies Following the mysterious death of his parents, a young man finds himself enmeshed in the dark world of drugs and crime.
s282;Movie;Abducted in Plain Sight;United States;January 15, 2019;Documentaries In this true crime documentary, a family falls prey to the manipulative charms of a neighbor, who abducts their adolescent daughter. Twice.
s283;Movie;Abdullah, The Final Witness;Pakistan;January 15, 2019;Dramas, International Movies Inspired by real events, this drama follows a trucker jailed after driving five ill-fated travelers across Quetta, and the officer taking on his case.
s284;Movie;Abhinetri;India;May 1, 2018;Comedies, International Movies, Sci-Fi & Fantasy Due to family pressure, a corporate man reluctantly marries a woman from the village, but in their new home, she abruptly assumes a different persona.
s285;TV Show;Abnormal Summit;South Korea; August 4, 2017;International TV Shows, Korean TV Shows, Stand-Up Comedy & Talk Shows Led by a trio of Korean celebs, a multinational panel of men engage in â€“ usually â€“ lighthearted debates on issues that surround Korea and beyond.
s286;Movie;Abominable Christmas;United States;February 18, 2016;Children & Family Movies, Comedies Two small abominable snowmen flee their mountain to escape a scientist who's trying to capture them and end up spending Christmas with a human family.
s287;Movie;About a Boy;United Kingdom, United States, France, Germany;February 1, 2019;Comedies, Dramas, International Movies Hip, irresponsible Londoner Will invents an imaginary son and starts attending single-parent meetings to find available women.
s288;Movie;About Time;United Kingdom;April 16, 2019;Comedies, Dramas, International Movies When Tim learns that the men in his family can travel in time and change their own lives, he decides to go back and win the woman of his dreams.
s289;TV Show;Abstract: The Art of Design;United States;September 25, 2019;Docuseries Step inside the minds of the most innovative designers in a variety of disciplines and learn how design impacts every aspect of life.
s290;TV Show;Absurd Planet;United States;April 22, 2020;Docuseries, Science & Nature TV, TV Comedies A cast of quirky critters and Mother Nature herself narrate this funny science series, which peeks into the lives of Earthâ€™s most incredible animals.
s291;TV Show;Abyss;South Korea;May 7, 2019;Crime TV Shows, International TV Shows, Korean TV Shows After meeting an untimely demise in separate incidents, Cha Min and Go Se-yeon discover theyâ€™ve come back to life in new bodies they donâ€™t recognize.
s292;Movie;Abzurdah;Argentina;August 25, 2016;Dramas, International Movies A disenfranchised 16-year-old girl connects to an older man on the internet and after a brief one-sided affair descends into obsession and anorexia.
s293;Movie;Acapulco La vida va;Mexico;June 3, 2017;Comedies, Dramas, International Movies Three lifelong friends travel to Acapulco ostensibly so one of them can find his lost love, but the real reason behind the trip holds some surprises.
s294;Movie;Accident;Hong Kong;December 1, 2018;International Movies, Thrillers A contract killer skilled at staging lethal accidents fears he may be a victim of his own strategy when an accomplice dies in a mysterious mishap.
s295;TV Show;Accidentally in Love;China;October 19, 2018;International TV Shows, Romantic TV Shows, TV Comedies Rejecting the demands of her wealthy family, a young woman poses as an ordinary college student and crosses paths with a stoic pop star at school.
s296;Movie;Across Grace Alley;United States;December 1, 2016;Dramas A young boy, upset by his parents' divorce, becomes infatuated with his grandmother's neighbor, an entrancing dancer he watches through a window.
s297;Movie;Across The Line;Canada;April 1, 2019;Dramas, Sports Movies A black high school student sets his sights for the National Hockey League, but rising racial tensions in his community may jeopardize his goals.
s298;Movie;Across the Universe;United States, United Kingdom;January 1, 2019;Dramas, Music & Musicals, Romantic Movies An American girl and a British lad fall in love amid the social and political upheaval of the 1960s, in this musical featuring songs by the Beatles.
s299;Movie;Act of Valor;United States;June 1, 2020;Action & Adventure An elite squad of Navy SEALs is tasked with rescuing a kidnapped CIA agent from a lethal terrorist cell.
s300;Movie;Act of Vengeance;Turkey, United States;September 29, 2018;"Action & Adventure, International Movies Two Turkish agents are sent to New York City on a mission to capture a notorious terrorist known only as ""Dejjal"" (Arabic for Antichrist)."
s301;Movie;Action Replayy;India;May 11, 2020;Children & Family Movies, Comedies, International Movies Sick of his parentsâ€™ constant squabbling, a young man travels back in time to the onset of their romance, with plans to set them up for marital bliss.
s302;Movie;Acts of Vengeance;Bulgaria, United States;January 25, 2018;Action & Adventure, International Movies Devastated by the murder of his wife and child, a formerly fast-talking lawyer takes a vow of silence and trains himself for a mission of revenge.
s303;Movie;Acts of Violence;Canada;August 1, 2020;Action & Adventure When his future sister-in-law is kidnapped by human traffickers, a military veteran joins forces with his brothers and a world-weary cop to rescue her.
s304;TV Show;Ad Vitam;France;November 1, 2019;Crime TV Shows, International TV Shows, TV Dramas In a future where regeneration technology lets humans live indefinitely, a cop and a troubled young woman investigate a strange wave of youth suicides.
s305;Movie;AdÃº;Spain;July 1, 2020;Dramas, International Movies Near a Spanish town in northern Africa, a child takes a painful journey, a father reconnects with his daughter and a coast guard is guilt stricken.
s306;Movie;Adam Devine: Best Time of Our Lives;United States;June 18, 2019;"Stand-Up Comedy Frenetic comic Adam Devine talks teen awkwardness, celebrity encounters, his ""Pitch Perfect"" audition and more in a special from his hometown of Omaha."
s307;TV Show;Adam Ruins Everything;United States;September 30, 2018;TV Comedies Education can be fun â€“ and funny. Comedian Adam Conover bursts misconceptions, deconstructs topics and leaves with positive takeaways.
s308;Movie;ADAM SANDLER 100% FRESH;United States;October 23, 2018;"Stand-Up Comedy From ""Heroes"" to ""Ice Cream Ladies"" â€“ Adam Sandler's comedy special hits you with new songs and jokes in an unexpected, groundbreaking way."
s309;Movie;Adam: His Song Continues;United States;October 1, 2011;Dramas After their child was abducted and murdered, John and Reve Walsh fought to raise national awareness of the problem of missing children.
s310;Movie;Addicted to Life;France;June 12, 2020;Action & Adventure, Documentaries, International Movies Chasing extreme challenges, athletic daredevils test their limits in various environments from giant waves to snowy slopes around the world.
s311;Movie;Adel Karam: Live from Beirut;United States;March 1, 2018;Stand-Up Comedy From Casino du Liban, Lebanese actor and comedian Adel Karam delivers earthy punchlines on kissing norms, colonoscopies and a porn star named Rocco.
s312;Movie;Adhugo;India;January 15, 2019;Comedies, International Movies, Thrillers A fast-footed piglet named Bunty becomes an object of desire for rival criminals that want the swift swine for their profitable animal-racing schemes.
s313;Movie;Aditi Mittal: Things They Wouldn't Let Me Say;India;July 18, 2017;Stand-Up Comedy Trailblazing comic Aditi Mittal mixes topical stand-up with frank talk about being single, wearing thongs and the awkwardness of Indian movie ratings.
s314;Movie;Adore;Australia, France;November 20, 2019;Dramas, Independent Movies, International Movies When lifelong friends Roz and Lil fall in love with each other's teenage sons, they must carry out their affairs in relative secrecy.
s315;Movie;Adrift;Hong Kong, Iceland, United States;September 1, 2020;Action & Adventure, Dramas, Romantic Movies A young coupleâ€™s sailing adventure becomes a fight to survive when their yacht faces a catastrophic hurricane in this story based on true events.
s316;Movie;Adrishya;India;December 31, 2019;Horror Movies, Independent Movies, International Movies A familyâ€™s harmonious existence is interrupted when the young son begins showing symptoms of anxiety that seem linked to disturbing events at home.
s317;Movie;Advantageous;United States;June 23, 2015;Dramas, Independent Movies, Sci-Fi & Fantasy In order to keep her job at a biomedical engineering firm that prizes youth, a middle-aged woman must submit to a drastic experimental procedure.
s318;Movie;Adventures in Public School;Canada, United States;August 15, 2018;Comedies After years of home-schooling, an awkward teen decides he wants a public high school experience, but his overbearing mother struggles to let go.
s319;Movie;Aerials;United Arab Emirates;May 7, 2020;International Movies, Sci-Fi & Fantasy Dubai residents struggle to figure out why a fleet of alien spaceships are hovering over their city when all contact with the outside world is cut off.
s320;TV Show;Afflicted;United States;August 10, 2018;Docuseries, Reality TV, Science & Nature TV Baffling symptoms. Controversial diagnoses. Costly treatments. Seven people with chronic illnesses search for answers â€“ and relief.
s321;Movie;Afonso Padilha: Classless;Brazil;September 3, 2020;Stand-Up Comedy Brazilian comedian Afonso Padilha dives into his humble beginnings and digs out hilarious stories about his childhood in this very personal set.
s322;TV Show;Africa;United Kingdom;April 28, 2016;British TV Shows, Docuseries, International TV Shows This five-part nature series chronicles fascinating stories of survival on the African continent, home to the most diverse animal life on the planet.
s323;TV Show;Afronta! Facing It!;Brazil;October 31, 2020;Docuseries, International TV Shows This docuseries spotlights Afro-Brazilian thinkers sharing their individual journeys and discussing representation, entrepreneurship and community.
s324;Movie;After;United States;October 9, 2019;Dramas, Romantic Movies Wholesome college freshman Tessa Young thinks she knows what she wants out of life, until she crosses paths with complicated bad boy Hardin Scott.
s325;TV Show;After Life;United Kingdom;April 24, 2020;British TV Shows, International TV Shows, TV Comedies Struggling to come to terms with his wife's death, a writer for a newspaper adopts a gruff new persona in an effort to push away those trying to help.
s326;Movie;After Maria;United States;May 24, 2019;Documentaries Displaced by Hurricane Maria, three Puerto Rican women navigate their families' uncertain futures as their federal housing aid in New York expires.
s327;Movie;After Porn Ends;United States;May 27, 2019;"Documentaries This documentary explores the careers of some of porn's top stars and examines their adjustment to ""normal"" society after leaving adult entertainment."
s328;Movie;After Porn Ends 3;United States;December 30, 2018;Documentaries This third installment in a documentary series examines the lives of the adult film genre's biggest stars after their industry careers have ended.
s329;Movie;After the Raid;United States, Mexico;December 19, 2019;Documentaries, International Movies A large immigration raid in a small town leaves emotional fallout and hard questions for its churchgoers about what it means to love thy neighbor.
s330;Movie;After We Collided;United States;December 22, 2020;Dramas, Romantic Movies Tessa fell hard and fast for Hardin, but after a betrayal tears them apart, she must decide whether to move on â€” or trust him with a second chance.
s331;Movie;Aftermath;United Kingdom, United States;March 15, 2020;Dramas After an air traffic controller's mistake results in a tragic accident, a man who lost his wife and daughter seeks answers from the man responsible.
s332;Movie;Afterschool;United States;August 13, 2020;Dramas, Independent Movies When a prep school loner films two classmates overdosing on cocaine, his footage plays a role in the emotional fallout within the school community.
s333;Movie;Aftershock;United States, Chile;March 7, 2018;Action & Adventure, Horror Movies An American tourist and his friends are partying in Chile, but a major earthquake devastates the area and forces them to scramble for survival.
s334;TV Show;Against the Tide;Singapore;July 1, 2017;Crime TV Shows, International TV Shows, TV Dramas A detective and a psychologist investigating a string of murders form a crime-solving team with the novelist whose work inspired the killings.
s335;Movie;Agatha and the Truth of Murder;United Kingdom;January 31, 2019;Dramas In a dramatized depiction of her 11-day disappearance, novelist Agatha Christie solving a real murder amid a crisis in her writing and marriage.
s336;TV Show;Age Gap Love;United Kingdom;July 12, 2019;British TV Shows, Reality TV, Romantic TV Shows Despite the social backlash and challenges that come with intergenerational romance, these couples choose to stick together through thick and thin.
s337;TV Show;Age of Glory;;August 14, 2017;International TV Shows, Romantic TV Shows, TV Dramas Amid the thriving nightlife of 1960s Kuala Lumpur, three Chinese friends â€“ a showgirl, her housekeeper and a chanteuse â€“ find love and heartbreak.
s338;TV Show;Age of Rebellion;Taiwan;September 1, 2018;Crime TV Shows, International TV Shows, TV Dramas At their high school, a group of unruly teens wreak havoc, face bullies and navigate turbulent lives beyond school grounds.
s339;TV Show;Age of Tanks;Germany, France, Russia;November 10, 2018;Docuseries, International TV Shows, Science & Nature TV The history of military tanks unfolds in a documentary series that traces their role in history and geopolitics from World War I to the 21st century.
s340;TV Show;Agent;Mauritius, South Africa;December 20, 2019;International TV Shows, TV Dramas A former footballer tries to make it as a player agent in the world of African soccer, but a secret from his past threatens to destroy everything.
s341;TV Show;Agent Raghav;India;April 15, 2017;Crime TV Shows, International TV Shows, TV Action & Adventure A mix of brilliance, erudition and skill enables a modern Sherlock Holmes to solve impossible cases, all while he tries to heal personal wounds.
s342;TV Show;Aggretsuko;Japan;August 27, 2020;Anime Series, International TV Shows Frustrated with her thankless office job, Retsuko the Red Panda copes with her daily struggles by belting out death metal karaoke after work.
s343;Movie;Aggretsuko: We Wish You a Metal Christmas;Japan;December 20, 2018;Movies While Retsuko desperately makes plans for Christmas Eve, her new obsession with seeking validation through social media spirals out of control.
s344;Movie;Agneepath;India;April 1, 2020;Dramas, International Movies A boy grows up to become a gangster in pursuit of the mobster who killed his innocent father, but revenge and reparation may come at great costs.
s345;Movie;AgustÃ­n AristarÃ¡n: Soy Rada;Argentina;February 16, 2018;"Stand-Up Comedy Argentine comedian AgustÃ­n ""Radagast"" AristarÃ¡n adds doses of magic, music and acting to his high-energy stand-up routine."
s346;Movie;Agyaat;India;October 1, 2018;Horror Movies, International Movies A film crew shooting in a remote forested location begins losing members one by one to a mysterious entity that they cannot see or hear.
s347;Movie;Ahista Ahista;India;December 31, 2019;Dramas, International Movies, Romantic Movies Stood up by her groom at the altar, a young woman finds help and healing from another man â€“ until her ex-fiancÃ© returns, hoping to win her back.
s348;Movie;Ai Weiwei: Never Sorry;United States;March 1, 2018;Documentaries Chinese artist and activist Ai Weiwei uses social media and art to inspire protests and suffers government persecution for his actions.
s349;TV Show;Ainori Love Wagon: African Journey;Japan;January 30, 2020;International TV Shows, Reality TV, Romantic TV Shows To find love, seven strangers leave Japan and embark on a journey through the continent of Africa together. Challenges, adventure and romance await!
s350;TV Show;Ainori Love Wagon: Asian Journey;Japan;March 28, 2019;International TV Shows, Reality TV, Romantic TV Shows Seven men and women board a pink bus in search of true love. On a journey through Asia with strangers, their goal is to return to Japan as a couple.
s351;TV Show;Ainsley Eats the Streets;United Kingdom;July 12, 2019;British TV Shows, Docuseries, International TV Shows Celebrity chef Ainsley Harriott embarks on a journey around the world to explore the relationship between local street foods and cultural identity.
s352;Movie;Ainu Mosir;United States, Japan;November 17, 2020;Dramas, International Movies A sensitive Ainu teen searches for a spiritual connection with his recently deceased dad while navigating his indigenous identity in a changing world.
s353;Movie;Airplane Mode;United States;January 23, 2020;Comedies, International Movies, Romantic Movies When Ana, an influencer, crashes her car while talking on the phone, sheâ€™s shipped to her grumpy grandfather's farm â€“ and forced into a digital detox.
s354;Movie;Aisa Yeh Jahaan;India;October 15, 2017;Dramas, Independent Movies, International Movies During a vacation with her parents, away from her concrete urban existence, a young girl learns to appreciate the joys of connecting with nature.
s355;Movie;Aitraaz;India;March 1, 2018;International Movies, Music & Musicals, Romantic Movies A happily married business executive is forced to deal with an episode from his past that he had long thought was put behind him.
s356;Movie;Aiyaary;India;May 15, 2018;Action & Adventure, Dramas, International Movies When his protÃ©gÃ© goes rogue and poses a grave threat to the government he serves, a veteran officer of the Indian Army tries to stop him at all costs.
s357;Movie;Aiyyaa;India;July 5, 2020;Comedies, International Movies, Music & Musicals An outspoken, imaginative girl from a conservative family pursues her dream man while fending off the prospect of an arranged marriage.
s358;TV Show;AJ and the Queen;United States;January 10, 2020;TV Comedies, TV Dramas While traveling across the country in a run-down RV, drag queen Ruby Red discovers an unlikely sidekick in AJ: a tough-talking 10-year-old stowaway.
s359;Movie;Ajab Prem Ki Ghazab Kahani;India;October 25, 2020;Comedies, International Movies, Music & Musicals A young man's obsession with making others happy drives him to help the girl he loves marry someone else, then try to win her heart.
s360;TV Show;Ajaibnya Cinta;;October 13, 2017;"International TV Shows, TV Dramas Upon returning home from his studies abroad, young grad Akif finds himself involved with four women in this continuation of the series ""Spain Uoolss."""
s361;TV Show;AJIN: Demi-Human;Japan;December 27, 2016;Anime Series, International TV Shows A teenager discovers that he is an Ajin and flees before the authorities experiment on him. Other Ajin plan to fight back and he must choose a side.
s362;Movie;Ajji;India;May 1, 2018;Dramas, International Movies When her small granddaughter is sexually assaulted by a powerful man and no justice is served, a poor, frail old woman plots her violent revenge.
s363;Movie;AK vs AK;India;December 25, 2020;Comedies, Dramas, International Movies After a public spat with a movie star, a disgraced director retaliates by kidnapping the actorâ€™s daughter, filming the search for her in real time.
s364;TV Show;Akame ga Kill!;Japan;March 1, 2020;Anime Series, Crime TV Shows, International TV Shows Tatsumi sets out on a journey to help his poor village. When he's rescued by a band of assassins, he joins their fight against the corrupt government.
s365;TV Show;AkbarÂ Birbal;India;March 31, 2020;Kids' TV, TV Comedies, TV Dramas From battles of wit to fights for justice, Emperor Akbar and his trusty advisor Birbal display their unique bond through adventures in Mughal-era India.
s366;TV Show;Akulah Balqis;;November 3, 2017;International TV Shows, TV Dramas A little girl must enter an orphanage after her parents are arrested, but her life takes a dramatic turn when she escapes and meets a model.
s367;Movie;Al acecho;;January 12, 2021;International Movies, Thrillers Looking for a fresh start, a park ranger gets a new assignment. When he discovers a network of poachers, survival depends on his lethal instincts.
s368;TV Show;Al Hayba;Lebanon;September 15, 2018;Crime TV Shows, International TV Shows, TV Dramas In a village by the Lebanon-Syria border, the head of an arms-smuggling clan contends with family conflicts, power struggles and complicated love.
s369;Movie;Ala Vaikunthapurramuloo;India;February 27, 2020;Action & Adventure, Comedies, Dramas After growing up enduring criticism from his father, a young man finds his world shaken upon learning he was switched at birth with a millionaireâ€™s son.
s370;Movie;Alakada Reloaded;;March 6, 2020;Comedies, International Movies To cope with her feelings of inferiority, a woman from an impoverished family tells tall tales of her wealth and influence to upgrade her social status.
s371;Movie;Alan SaldaÃ±a: Mi vida de pobre;Mexico;August 4, 2017;Stand-Up Comedy Mexican comic Alan SaldaÃ±a has fun with everything from the pressure of sitting in an exit row to maxing out his credit card in this stand-up special.
s372;Movie;Alarmoty in the Land of Fire;Egypt;August 5, 2019;Comedies, International Movies While vacationing at a resort, an ornery and outspoken man is held captive by a criminal organization.
s373;Movie;Alaska Is a Drag;United States;December 31, 2020;Dramas, LGBTQ Movies Tormented by bullies, an aspiring drag star working at an Alaskan cannery becomes a skilled fighter and is tapped for competition by a boxing coach.
s374;Movie;Albert Pinto Ko Gussa Kyun Aata Hai?;India;December 31, 2019;Dramas, Independent Movies, International Movies As the police investigate his disappearance, a young man heads to Goa to carry out an act of vengeance fueled by years of pent-up anger toward society.
s375;Movie;Albion: The Enchanted Stallion;United States, Bulgaria;July 1, 2017;Children & Family Movies After a magical horse transports her to a fantasy world ruled by an evil general, a brave girl sets out to save the land once and for all.
s376;Movie;Alejandro RiaÃ±o: Especial de stand up;Colombia;January 10, 2018;Stand-Up Comedy Colombian comedian Alejandro RiaÃ±o discusses the perks of dating a she-wolf, styles of dancing, the quirks of BogotÃ¡ men and soccer game announcers.
s377;Movie;Alejandro Sanz: What I Was Is What I Am;Spain;August 18, 2018;Documentaries, International Movies, Music & Musicals A retrospective look at the life and career of Grammy-award winning Spanish musician Alejandro Sanz.
s378;Movie;AlelÃ­;Uruguay, Argentina;April 16, 2020;Comedies, Dramas, International Movies Mourning their father's death, a dysfunctional trio of siblings must face selling their beloved childhood beach house â€” and dealing with each other.
s379;Movie;Alex FernÃ¡ndez: The Best Comedian in the World;Mexico;January 23, 2020;Stand-Up Comedy Comic Alex FernÃ¡ndez performs his familiar autobiographical stories but goes a little deeper this time with a tender tale about one of his six siblings.
s380;Movie;Alex Strangelove;United States;June 8, 2018;Comedies, Dramas, Independent Movies High school senior Alex Truelove's plan to lose his virginity to lovable girlfriend Claire goes awry when he meets the equally lovable Elliot.
s381;TV Show;Alexa & Katie;United States;June 13, 2020;Kids' TV, TV Comedies Alexa is battling cancer. But with her best friend, Katie, by her side, she's also starting high school â€“ and ready for whatever comes next.
s382;Movie;Alexandria ... Why?;Egypt, Algeria;June 18, 2020;Classic Movies, Dramas, International Movies Living in Alexandria during World War II, an Egyptian teen enamored with American films dreams of making it in Hollywood.
s383;Movie;Alexandria: Again and Forever;France, Egypt;June 18, 2020;Classic Movies, Dramas, International Movies At the peak of his career, Yehia joins a hunger strike, becomes smitten and reckons with a creative crisis â€” but finds a new muse.
s384;Movie;Alexis Viera: A Story of Surviving;Uruguay;March 20, 2019;Documentaries, International Movies, Sports Movies After being shot during a robbery in Colombia and losing sensation in his legs, Uruguayan soccer star Alexis Viera finds a new sense of purpose.
s385;Movie;Ali & Alia;United Arab Emirates;May 12, 2020;Dramas, International Movies, Romantic Movies Drugs and addiction endanger the love â€” and lives â€” of two childhood sweethearts struggling to survive the perils of a precarious world.
